"","c3_mat.cust_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",59984,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0841705327096753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",109693,NA,NA,NA,NA,NA,0.170210326690422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",169648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102035359448809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",199950,NA,NA,NA,NA,NA,NA,NA,0.0474013918479989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",289996,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",309971,NA,NA,NA,NA,NA,NA,0.0449782530741823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",329968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028917327995417,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",339627,NA,NA,NA,NA,NA,NA,NA,0.0721634266145133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",339918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146821927313314,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177792862049343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",459915,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0469926060407469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",559804,NA,NA,NA,NA,NA,NA,NA,NA,0.0669267637858127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",579990,NA,NA,NA,NA,NA,NA,NA,NA,0.104390050251009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",589766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121153208504127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",609815,NA,NA,NA,NA,NA,NA,0.0272838788185382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",609881,NA,NA,NA,NA,NA,0.0449862525530442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",689894,NA,NA,NA,NA,NA,NA,NA,NA,0.0470859399626201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",709543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",799924,NA,NA,NA,NA,NA,0.185705784398326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",869947,NA,NA,NA,NA,NA,NA,0.0122985566682792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",879592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",879894,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149112053483973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",909794,NA,NA,NA,0.225825134782942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",909861,NA,NA,NA,NA,NA,NA,0.0257037095780274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",939843,NA,NA,NA,NA,0.020878162430979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",969802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179914396912981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",969825,NA,NA,NA,0.0626911826193117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",989713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71821350277852,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1009831,NA,NA,NA,NA,NA,NA,0.0242692509446057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1009995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1049570,NA,NA,NA,NA,NA,NA,0.0480111900209771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1069886,NA,NA,NA,NA,NA,NA,NA,NA,0.0536794773774469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1079927,NA,NA,NA,NA,NA,NA,NA,0.148792192297911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1129993,NA,NA,NA,NA,NA,NA,NA,0.0562858590086572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1149770,NA,NA,0.0411768317462508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1179654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77088011503433e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1249927,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1289567,NA,NA,NA,NA,4.82009548067206e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
