"","c2_mat.cust_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",39774,NA,NA,NA,NA,NA,NA,0.0965035706849712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",189709,NA,NA,NA,NA,NA,NA,NA,NA,0.0329348771227881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",229838,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357373876369022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",289975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0313347845460386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",339665,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",339834,NA,NA,NA,NA,NA,NA,NA,0.209284899675063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",399566,NA,NA,NA,NA,NA,NA,NA,0.122685653990404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",529915,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",549975,NA,NA,NA,NA,NA,NA,0.0338569314229683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",550000,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",699812,NA,NA,NA,NA,NA,NA,0.115834965841521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",749556,NA,NA,NA,NA,NA,NA,4.58141187043975e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",799904,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0361567386532598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",819740,NA,NA,NA,NA,NA,0.046253248059549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",819895,NA,NA,NA,NA,NA,NA,NA,0.0361447420801622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1109826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0313219844713915,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1109884,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0278359601778229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1109886,NA,NA,NA,NA,NA,NA,NA,0.119177078866554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1129755,NA,NA,NA,NA,1.95668586030449e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1139567,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1179795,NA,NA,NA,NA,NA,NA,NA,0.19947123734402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1179804,NA,NA,NA,NA,NA,NA,NA,NA,0.0542507687515328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1209903,NA,NA,NA,NA,NA,NA,NA,NA,0.0241307660669953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1229691,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353649549626795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1269893,NA,NA,NA,NA,NA,NA,NA,0.0753841888005829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1309751,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1369928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0347700192141791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1409661,NA,NA,NA,NA,NA,NA,NA,0.0589899272388294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1429948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0249786193621495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1439849,NA,NA,NA,NA,NA,NA,NA,NA,0.0419679907436574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1459955,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272788822433548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1489990,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267161170544458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1539803,NA,NA,NA,NA,NA,NA,NA,NA,0.0304619768408582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1539975,NA,NA,NA,NA,NA,NA,NA,0.121629264876125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1599627,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0293718587367394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
