"cust_id","V1"
59984,29
109693,122
169648,6
199950,127
289996,3
309971,31
329968,8
339627,3
339918,6
340000,109
459915,14
559804,165
579990,36
589766,7
609815,4
609881,27
689894,6
709543,4
799924,33
869947,3
879592,3
879894,10
909794,1
909861,6
939843,25
969802,1
969825,1
989713,5
1009831,46
1009995,2
1049570,181
1069886,133
1079927,25
1129993,1
1149770,20
1179654,1
1249927,2
1289567,3
1309902,19
1339981,48
1399898,201
1469591,7
1499761,55
1499909,21
1569894,29
1579841,20
1589813,150
1619556,79
1649886,5
1710000,26
1799643,4
1819868,55
1839834,20
1849794,183
1949610,25
1999671,6
2039621,45
2049977,6
2139816,114
2199975,24
2209804,52
2249699,2
2259776,5
2269534,45
2269804,74
2339637,2
2389794,11
2389837,15
2389981,3
2539599,9
2539850,2
2569933,13
2639965,1
2679888,209
2679893,13
2689758,10
2709959,6
2719577,155
2749922,3
2779799,7
2789804,892
2799943,5
2809801,77
2829752,13
2869943,7
2939799,116
2969695,487
2989796,63
3009958,53
3089929,4
3109806,255
3169944,77
3229801,82
3239920,58
3239931,5
3249808,163
3259822,232
3269902,51
3279689,1
3299585,230
3299914,19
3349780,1
3349804,62
3409828,12
3409832,2
3419797,160
3449697,29
3469946,91
3489804,3
3489945,1
3509691,56
3529748,245
3549558,25
3559851,41
3629797,33
3629926,13
3689815,2
3739829,25
3759804,11
3779756,6
3779918,2
3799775,46
3849813,43
3869942,2
3919795,325
3939747,7
3979821,162
4019679,14
4029695,18
4029766,2
4029993,6
4069735,14
4069947,136
4109594,5
4139823,43
4139886,105
4149898,68
4149952,46
4189690,4
4199988,1
4239950,10
4259813,60
4269669,1
4299825,285
4319967,7
4509747,15
4569688,4
4589591,21
4589623,65
4639896,44
4679603,6
4679898,102
4699985,28
4719570,48
4759939,6
4769897,220
4829823,15
4839830,124
4839902,16
4889825,3
4899809,102
5019544,28
5039834,10
5039894,101
5069807,15
5109957,3
5149889,28
5219581,282
5269569,2
5279820,24
5399819,27
5509988,1
5529858,13
5589661,20
5619763,2
5639618,64
5639825,51
5639887,5
5679940,1
5749887,32
5819956,2
5839828,22
5929637,6
6039822,52
6119775,241
6139888,78
6149942,25
6279935,2
6309822,5
6319822,115
6389897,47
6409830,1
6419582,46
6559743,350
6599998,1
6629604,33
6629808,19
