"cust_id","V1"
39774,5
189709,96
229838,38
289975,29
339665,12
339834,19
399566,17
529915,22
549975,52
550000,7
699812,50
749556,26
799904,32
819740,7
819895,330
1109826,12
1109884,127
1109886,63
1129755,5
1139567,2
1179795,321
1179804,93
1209903,229
1229691,57
1269893,88
1309751,95
1369928,1
1409661,78
1429948,11
1439849,9
1459955,3
1489990,3
1539803,40
1539975,39
1599627,8
1619818,194
1629937,6
1639780,2
1749580,44
1829913,390
1839669,43
1879807,45
1979644,6
1979728,42
2009681,46
2059893,18
2089806,9
2089808,86
2169803,75
2199832,12
2299969,2
2439937,38
2629968,57
2649914,1
2649945,2
2689745,6
2709567,1
2739902,15
2749795,110
2809951,8
3089715,25
3179779,1
3389801,2
3469803,6
3469901,138
3579812,2
3629937,14
3689897,23
3939806,3
3949807,25
4019802,136
4139766,3
4139769,2
4179994,6
4189891,61
4219822,25
4229650,3
4419627,28
4519741,47
4539915,2
4609812,103
4629627,55
4669939,1
4689635,51
4729717,73
4739636,388
4739810,109
4739889,12
4769713,186
4829933,57
5019895,125
5059954,21
5089853,25
5099956,3
5119801,61
5149830,191
5209899,42
5289814,13
5449953,63
5519783,18
5529802,343
5619915,1
5639732,2
5649957,7
5859762,82
6069830,23
6119974,3
6139769,2
6229899,3
6269731,46
6369940,19
6529929,5
6599547,43
6619659,361
6679813,67
6729743,5
6739641,12
6759673,3
6939855,11
6989901,42
7019663,5
7079973,46
7119528,7
7119955,1
7229797,2
7269949,6
7289711,25
7449893,62
7529982,658
7539946,1
7579639,2
7619808,89
7739787,65
7759925,46
7819901,1
7859980,2
7919932,20
8049900,82
8169802,2
8399671,225
8409665,56
8409818,38
8489894,9
8519818,2
8679785,59
8679834,2
8679838,7
8709887,4
8739918,6
8749884,1
8849964,8
8859775,25
8949893,60
9089753,77
9209960,2
9249877,8
9319932,69
9339837,6
9349783,4
9449822,11
9469815,20
9519528,18
9519828,52
9749794,20
9799906,32
9799941,6
9829826,7
9859853,171
9919642,10
9919996,4
9929819,21
9989829,14
10009638,4
10029739,221
10079850,29
10269678,67
10499784,100
10529754,50
10629613,5
10689564,12
10759583,13
10909884,374
10979809,61
11009819,4
11019926,19
11129794,1
11139538,5
11139932,3
11149903,66
11199633,206
11229895,28
11299762,109
11379727,162
11399749,65
11559947,1
11619991,16
11629812,49
11679751,7
11709889,40
11719878,57
11779919,3
11789750,55
11909942,9
11939573,51
12109797,26
12319803,17
12379838,62
12389800,861
12419558,8
12539937,157
12609746,53
12639726,199
12729680,53
12919958,45
12929901,126
12939970,1
12959585,7
13129627,2
13169822,475
13199601,21
13319958,31
13319969,14
13329941,18
13439986,38
13649822,10
13669829,100
13889806,8
13929992,12
13949945,2
13969965,1
14029648,13
14239708,151
14259755,908
14299896,55
14459812,27
14549834,42
14649887,19
14669762,8
14669832,42
14699979,6
14719985,62
14759822,1
14939857,199
15129903,119
15149791,21
15169906,54
15219892,59
15449830,27
15599558,528
15599790,58
15619808,187
15629812,11
15729796,44
15739825,21
15759884,12
15769920,67
15819912,35
15969821,69
16139538,5
16139814,13
16189799,36
16209847,51
16249638,28
16329990,26
16359924,155
16489694,152
16509646,88
16619528,2
16679780,6
16789824,95
16809940,137
16879828,26
17239998,7
17499832,1
17579985,96
17599817,116
17629866,12
17659633,1
17659971,27
17709893,940
17829579,149
17889830,18
17899753,1
17899931,2
17959971,1
18199905,1
18219808,3
18239665,2
18289915,10
18419697,3
18419851,80
18429945,33
18509580,10
18519751,142
18539776,27
18539850,29
18569788,4
18629833,10
18689591,45
18739973,224
18759806,1
18789726,190
18829966,29
18849645,219
18859893,2
18899989,1
19069784,41
19109770,22
19169899,10
19259971,2
19279750,48
19339540,180
19339933,16
19379563,220
19489797,7
19719957,90
19809975,1
19899641,87
19909679,35
20019865,7
20049997,132
20129679,3
20159580,2
20279683,2
20299846,32
20319699,29
20319968,10
20439925,52
20449880,21
20649929,5
20679924,10
20799654,137
20799929,20
20809908,16
20839975,2
20889964,3
20909719,38
21039641,25
21179639,1
21229887,22
21249884,50
21479974,3
21509809,13
21549823,19
21579922,46
21619611,453
21639948,3
21709671,53
21709938,19
21829960,24
21949817,4
22119651,2
22149725,5
22149817,35
22169618,2
22179626,798
22419803,8
22459641,9
22509924,150
22529830,40
22639828,199
22719922,2
22869555,4
22939921,45
22969797,25
22989974,21
23009992,1
23059907,25
23079802,7
23149973,51
23209735,262
23209931,1
23229727,1
23339994,46
23359797,88
23359928,23
23389753,13
23449848,5
23509865,189
23569586,42
23629808,45
23649887,87
23659893,101
23769602,2
23839751,21
23839805,47
23839881,32
23959919,245
23989897,94
24039818,34
24179544,1
24469982,4
24529716,17
24579854,4
24599899,24
24649833,372
24769834,104
24799724,174
24939809,21
24979721,14
25009784,1
25009822,59
25059811,1
25139801,24
25239918,25
25299978,6
25459825,119
25509893,11
25549822,24
25579896,2
25659992,78
25679927,23
25749748,15
25949920,7
25969808,203
25999807,23
26059833,355
26129863,451
26189892,45
26289768,561
26289816,86
26439761,14
26439895,146
26489541,57
26499927,73
26539924,3
26739889,22
26769833,317
26799749,152
26819789,7
26969838,1
27009537,118
27029688,159
27059851,63
27109826,2
27219925,18
27369886,30
27419620,73
27559914,1
27569750,149
27589827,32
27669777,5
27719832,2
27809913,79
27829863,14
27839656,188
27859778,1
27879910,2
27929598,23
27929947,4
27959877,1
27989838,95
28049788,7
28119749,1
28149981,1
28199766,16
28209623,18
28249745,7
28249779,28
28289751,171
28339832,87
28359772,15
28449658,11
28499876,21
28519912,4
28549903,25
28549996,51
28559806,8
28609616,20
28689816,108
28779832,423
28889895,21
28899633,260
28929854,1
28969992,8
28999924,1
29019995,10
29029884,4
29089811,6
29159926,21
29249884,2
29319978,1
29479946,137
29519813,154
29549891,221
29549935,2
29559579,34
29559815,25
29589856,1
29639899,335
29749988,2
29939964,10
30079766,65
30179968,3
30209822,127
30229727,9
30289790,677
30309997,2
30419656,11
30419929,11
30509633,144
30529672,148
30739938,30
30779940,87
30869590,3
30869611,77
30879937,1
30969620,436
30979888,42
31009728,1
31069898,39
31139798,119
31179706,180
31229829,9
31319659,4
31449801,34
31469558,206
31469660,83
31599645,11
31659691,102
31839978,14
31979915,1
32209834,51
32229606,25
32239645,35
32299809,102
32329887,2
32609583,66
32629969,80
32659788,6
32689582,6
32699898,38
32739623,4
32749805,8
32809541,1
32899720,87
32919803,7
32979648,1
33029952,1
33039984,20
33069698,6
33099816,1
33109819,38
33129967,17
33129968,6
33139540,49
33229854,60
33259966,351
33309932,6
33329832,241
33559925,24
33619896,56
33639918,26
33729772,164
33799842,12
34139947,269
34259557,1
34319838,6
34529905,106
34559987,139
34569928,5
34639975,8
34649782,70
34709739,58
34799710,22
34799991,222
34949850,86
35069542,8
35069910,27
35079929,1
35109630,2
35129953,1
35149971,15
35159813,25
35199715,28
35209950,20
35359799,44
35379761,476
35599986,3
35649822,8
35709816,14
35739803,7
35759826,59
35819827,57
35879867,7
35929946,120
35939966,298
36149607,5
36169831,112
36319817,14
36339672,2
36389625,1
36389983,1
36419816,184
36429784,1
36429965,2
36549947,23
36569809,19
36619985,21
36669711,26
36829902,118
36839628,25
36889619,52
36919761,2
36969841,3
36989721,77
37129691,75
37189831,142
37269831,27
37339808,17
37449943,14
37529700,11
37529902,140
37579826,176
37869746,57
37889608,9
38069969,24
38079788,99
38079809,115
38149980,26
38279666,2
38349750,82
38369898,4
38409811,8
38469642,85
38549799,5
38549892,48
